K,gate,selftest,terminal_194,landed,off_pad,too_hard,fuel_out,other,td_v_mean,td_v_max,lat_mean,fuel_mean,wall_s_total,wall_s_per_run,exe_sha8,notes
512,PASS,PASS,194,44,14,2,0,0,2.93,5.04,14.23,4550,3477.9,57.96,E46425B1,ok
1024,PASS,PASS,194,42,15,2,1,0,2.93,5.26,14.57,4545,5222.1,87.04,9A1DBC0F,ok
