step,t_si,Fx,Fy,Fz,CA,CN
43000,16.7272,1.73606,-0.0554626,-0.110207,1.42053,0.0453821
43500,16.9217,2.23785,0.0734991,-0.196772,1.83112,-0.0601404
44000,17.1162,2.24408,-0.135289,-0.00342119,1.83621,0.1107
44500,17.3107,1.81216,-0.0721591,0.0371426,1.48279,0.059044
45000,17.5052,1.73108,-0.0127458,-0.119246,1.41645,0.0104292
45500,17.6997,2.20612,0.019227,-0.0702062,1.80515,-0.0157324
46000,17.8942,2.29428,0.023585,-0.0128497,1.87729,-0.0192983
46500,18.0887,1.81479,0.118079,0.0165271,1.48495,-0.0966176
47000,18.2832,1.71401,0.0416018,0.00360994,1.40248,-0.0340406
47500,18.4777,2.15479,-0.0531469,-0.14865,1.76315,0.0434873
48000,18.6722,2.28971,-0.0453837,-0.107603,1.87355,0.0371351
48500,18.8667,1.90132,-0.0655473,-0.0434674,1.55575,0.0536339
49000,19.0612,1.7151,0.0819785,-0.287071,1.40337,-0.0670787
49500,19.2557,2.07253,0.0310685,-0.0762212,1.69584,-0.0254217
50000,19.4502,2.2996,-0.00308309,-0.0989005,1.88164,0.00252273
50500,19.6447,1.83595,-0.0352131,-0.0663566,1.50226,0.028813
51000,19.8392,1.60624,-0.019264,-0.127766,1.3143,0.0157627
51500,20.0337,1.98785,0.0230147,-0.115182,1.62655,-0.0188317
52000,20.2282,2.18812,-0.0977485,0.0173423,1.79042,0.0799825
52500,20.4227,1.85856,-0.0958296,0.0302704,1.52076,0.0784123
53000,20.6172,1.54177,-0.0295461,-0.111349,1.26155,0.024176
53500,20.8117,2.00758,0.0300306,-0.161491,1.64269,-0.0245724
54000,21.0062,2.28945,-0.183102,-0.0622262,1.87334,0.149823
54500,21.2007,1.94096,-0.0634895,0.0131714,1.58818,0.0519501
55000,21.3952,1.4994,-0.099108,-0.0853793,1.22688,0.0810949
55500,21.5897,1.9052,0.144707,-0.15489,1.55892,-0.118406
56000,21.7843,2.34095,-0.0705692,-0.0397987,1.91548,0.057743
56500,21.9788,2.07079,0.0244219,0.00844233,1.69442,-0.0199831
57000,22.1733,1.65546,0.0783106,-0.119429,1.35458,-0.0640774
57500,22.3678,1.88044,0.0207498,-0.179048,1.53866,-0.0169785
58000,22.5623,2.2422,0.0847702,-0.146002,1.83468,-0.069363
58500,22.7568,2.0322,0.00100412,0.010561,1.66284,-0.000821615
59000,22.9513,1.68929,-0.00223398,-0.110704,1.38225,0.00182795
59500,23.1458,1.78765,0.00824066,-0.0636041,1.46274,-0.0067429
60000,23.3403,2.3349,-0.0387703,-0.0505972,1.91052,0.0317237
60500,23.5348,2.19789,-0.0455107,-0.0697341,1.79842,0.037239
61000,23.7293,1.6324,-0.0793878,-0.0469364,1.33571,0.0649588
61500,23.9238,1.73119,0.0901612,-0.115213,1.41654,-0.0737741
62000,24.1183,2.19713,0.0677096,-0.209417,1.7978,-0.0554032
62500,24.3128,2.22551,-0.05675,-0.0895182,1.82102,0.0464355
# RESULT alpha_deg=0 CA=1.61324 CN=0.00691406 samples=51
