step,t_si,Fx,Fy,Fz,CA,CN
500,0.194502,0,0,0,0,0
1000,0.389004,0.0131292,-0.00899584,0.000174188,0.00961397,0.00878432
1500,0.583507,0.0632057,-0.0305607,0.000289517,0.0477343,0.0319606
2000,0.778009,0.144755,-0.0633684,-0.000322275,0.110076,0.0678307
2500,0.972511,0.229517,-0.107207,-0.00262114,0.173765,0.113005
3000,1.16701,0.308783,-0.138251,-0.00557646,0.234458,0.147186
3500,1.36152,0.379022,-0.158547,-0.00909396,0.289061,0.17163
4000,1.55602,0.528274,-0.134495,-0.00756808,0.412736,0.169138
4500,1.75052,0.731052,-0.139541,-0.0116557,0.576469,0.196319
5000,1.94502,1.08902,-0.105004,-0.00508336,0.870455,0.209098
5500,2.13952,1.47939,-0.0919975,0.00103347,1.18825,0.243014
6000,2.33403,1.8947,-0.141366,0.0154494,1.51914,0.33031
6500,2.52853,2.21278,-0.195195,0.0188539,1.77075,0.41015
7000,2.72303,2.4069,-0.256516,0.018613,1.92107,0.481944
7500,2.91753,2.52034,-0.281344,-0.00756813,2.01016,0.51498
8000,3.11204,2.636,-0.331353,-0.0257138,2.09818,0.568673
8500,3.30654,2.79834,-0.378929,-0.0318287,2.2243,0.62571
9000,3.50104,2.99665,-0.434451,-0.0369102,2.37867,0.693282
9500,3.69554,3.15915,-0.523286,-0.0387459,2.50022,0.783768
10000,3.89004,3.20607,-0.613652,-0.0561291,2.52795,0.862333
10500,4.08455,3.17988,-0.700204,-0.0798973,2.49687,0.929483
11000,4.27905,3.12316,-0.705319,-0.0537499,2.45033,0.927168
11500,4.47355,3.05311,-0.78399,-0.0667802,2.3846,0.982936
12000,4.66805,3.01934,-0.797052,-0.0612544,2.35576,0.989675
12500,4.86256,2.93591,-0.831606,-0.0437082,2.28422,1.00817
13000,5.05706,2.87031,-0.891516,-0.0136275,2.22424,1.04925
13500,5.25156,2.81863,-0.796186,-0.0602072,2.19322,0.966117
14000,5.44606,2.75968,-0.890496,-0.0241877,2.13472,1.03582
14500,5.64056,2.77071,-0.925987,-0.037531,2.13962,1.06584
15000,5.83507,2.7509,-0.781466,-0.0550661,2.14002,0.946476
15500,6.02957,2.67962,-0.886233,-0.0509902,2.07033,1.02325
16000,6.22407,2.67819,-0.864018,-0.0327383,2.0717,1.00509
16500,6.41857,2.71197,-0.819546,-0.0083252,2.10414,0.972899
17000,6.61308,2.69741,-0.814744,0.0363897,2.09289,0.967349
17500,6.80758,2.66129,-0.893908,0.00291392,2.0546,1.02738
18000,7.00208,2.67202,-0.969296,-0.0181618,2.05472,1.08969
18500,7.19658,2.67717,-0.897346,-0.0230661,2.06708,1.03198
19000,7.39109,2.65353,-0.875073,-0.0324475,2.05046,1.01124
19500,7.58559,2.64825,-0.861858,0.0538229,2.04769,0.999927
20000,7.78009,2.68797,-0.880043,0.0215889,2.0778,1.01918
20500,7.97459,2.65271,-0.86361,0.00801581,2.0511,1.00186
21000,8.16909,2.67128,-0.802664,-0.0165612,2.07309,0.954586
21500,8.3636,2.65407,-0.901233,-0.0361253,2.04792,1.03249
22000,8.5581,2.65564,-0.811564,-0.065921,2.05941,0.960017
22500,8.7526,2.69108,-0.977266,-0.0349884,2.06925,1.09832
23000,8.9471,2.67339,-0.869177,-0.0910751,2.06723,1.00872
23500,9.14161,2.61572,-0.832133,-0.0121477,2.02471,0.972137
24000,9.33611,2.58777,-0.904206,-0.0348159,1.99386,1.02735
24500,9.53061,2.63707,-0.823783,-0.0301597,2.04297,0.967803
25000,9.72511,2.63666,-0.775516,-0.0844765,2.04813,0.928646
25500,9.91961,2.63913,-0.952818,-0.0878901,2.02994,1.07259
26000,10.1141,2.65898,-0.934343,-0.0899769,2.04813,1.05988
26500,10.3086,2.58378,-0.937434,-0.151712,1.98684,1.05382
27000,10.5031,2.67094,-0.864908,-0.160271,2.06572,1.00498
27500,10.6976,2.75723,-0.827053,-0.130064,2.13996,0.984136
28000,10.8921,2.68046,-0.889075,-0.0836872,2.07069,1.02565
28500,11.0866,2.481,-0.847042,-0.136131,1.91386,0.968876
29000,11.2811,2.63777,-0.952728,-0.143892,2.02884,1.07236
29500,11.4756,2.86505,-0.959121,-0.09669,2.21228,1.10343
30000,11.6701,2.76389,-0.919309,-0.181149,2.13485,1.05965
30500,11.8646,2.35661,-1.0784,-0.0830026,1.78672,1.14217
31000,12.0591,2.51976,-0.925371,0.0210072,1.93634,1.03676
31500,12.2536,2.92624,-0.794984,-0.0613734,2.28055,0.977397
32000,12.4481,2.73163,-0.716368,-0.106402,2.13182,0.891534
32500,12.6426,2.32378,-0.969499,-0.0570833,1.77252,1.0502
33000,12.8371,2.57308,-0.998805,-0.0928078,1.97119,1.10233
33500,13.0316,3.06194,-0.886607,-0.109636,2.38007,1.06709
34000,13.2262,2.85056,-0.803478,0.01597,2.21827,0.975662
34500,13.4207,2.30389,-0.946846,-0.0345278,1.75898,1.02958
35000,13.6152,2.43149,-1.00613,-0.139539,1.85562,1.09214
35500,13.8097,2.98833,-0.867061,-0.137089,2.32265,1.04287
36000,14.0042,2.89683,-0.737745,0.0935093,2.26324,0.927668
36500,14.1987,2.3398,-0.956514,0.0147444,1.78698,1.0415
37000,14.3932,2.34547,-1.01915,-0.0275279,1.78444,1.0929
37500,14.5877,2.96266,-0.911567,-0.0958085,2.29678,1.07601
38000,14.7822,2.92512,-0.759543,-0.0105052,2.28369,0.948553
